character,dialog
OPPENHEIMER,"Richard, tell Ruth I’ll be down to Pasadena Thursday."
SERBER,Your paper on black holes- it’s in!
OPPENHEIMER,Get Hartland.
LOMANITZ,"September 1st, 1939- the world’s gonna remember this day..."
OPPENHEIMER,"Hartland, our paper, it’s in print!"
SNYDER,We’ve been upstaged.
OPPENHEIMER,During the Battle of France and the Battle of Britain...
OPPENHEIMER,...I found myself increasingly out of sympathy with the policy of neutrality that Communists advocated.
ROBB,"And after Hitler invaded Russia, did these Communist sympathies return?"
OPPENHEIMER,No. If you’ll just allow me to-
GRAY,"Mr Robb, you’ll have ample opportunity to cross-examine."
OPPENHEIMER,"I need to make clear that my changing opinion of Russia did not mean a sharp break with those who held different views. For a year or two during a previous marriage my wife, Kitty, had been a Communist Party member."
OPPENHEIMER,"But when I first met her, in Pasadena in 1939, she had already disengaged from politics..."
OPPENHEIMER,This is where I keep the good stuff.
KITTY,I thought this was the Tolmans’ house.
OPPENHEIMER,I live with them when I’m at Caltech.
RUTH,You two need anything?
OPPENHEIMER,"We’re fine, Ruthie. You’re a biologist?"
KITTY,Somehow I graduated to housewife. Can you explain quantum mechanics to me? It seems baffling.
OPPENHEIMER,It is. This glass-
OPPENHEIMER,This drink-
OPPENHEIMER,Our bodies... are mostly empty space- groupings of tiny energy waves bound together.
KITTY,By what?
OPPENHEIMER,Forces of attraction strong enough to convince us that matter is solid...
OPPENHEIMER,And stop my body passing through yours.
OPPENHEIMER,You’re married to Dr Harrison.
KITTY,Not very.
OPPENHEIMER,"Well, there’s someone that I..."
KITTY,Does she feel the same way?
OPPENHEIMER,Sometimes. Not often enough.
OPPENHEIMER,"I’m going to New Mexico, to my ranch. With friends. You should come."
OPPENHEIMER,I meant with your husband.
KITTY,"Yes, you did. Because you know it won’t make a bit of difference."
OPPENHEIMER,Why did you marry him?!
KITTY,I was lost. He was kind.
OPPENHEIMER,Lost?
KITTY,My previous husband died. At twenty- eight I wasn’t ready to be a widow.
OPPENHEIMER,Who was your first husband?
KITTY,Nobody. But my second husband was Joe Dallet.
OPPENHEIMER,How hard?
KITTY,"Hard enough to spend four years living off beans and pancakes, handing out the Daily Worker at factory gates."
KITTY,"By ’36 I told Joe I couldn’t take it anymore, quit the Party and joined my parents swanning around Europe. A year later I said I wanted him back. Him, not the Daily Worker. He said 'Swell, I’ll meet you on my way to Spain.'"
OPPENHEIMER,He went to fight for the loyalists?
KITTY,On his way we reconciled. One beautiful week in Paris. Then he went to the brigades and I waited. One day Steve Nelson turns up in the lobby of the hotel to tell me Joe got himself killed first time he popped out of his trench.
OPPENHEIMER,Who’s Steve Nelson?
KITTY,Head of the Communist Party in San Francisco. You don’t know him?
OPPENHEIMER,I’m not a Communist.
KITTY,You seem to know a lot of ’em.
OPPENHEIMER,Including you.
KITTY,Ideology got Joe killed. For nothing.
OPPENHEIMER,The Spanish Republic isn’t nothing.
KITTY,My husband offered both our futures to stop one fascist bullet embedding itself in a mudbank. That’s the definition of nothing.
