character,dialog
IVAN,If what’s true?
GARNIK,Did you get married to some prostitute?
ANI,What did he say?
GARNIK,Are you married? To her?
IVAN,Yes! Ok? Bye.
GARNIK,So you and her are married?
IVAN,Yes. I’m married.
GARNIK,Like officially with a license?
IVAN,"Yes, officially. Goodbye!"
GARNIK,You’re in a lot of trouble.
GARNIK,Wait. Wait. I need to see the marriage license.
GARNIK,"Now c’mon the faster we do it, the faster we’re out of here."
IVAN,"You’ve got to be kidding me. My parents are fucking crazy! Pathetic. Ok, they want proof. We give them proof."
IVAN,Where’s the marriage license?
IVAN,The marriage license.
ANI,It’s in the desk. In the office. What’s going on?
IVAN,Nothing. My parents are just being assholes.
ANI,Who are these guys?
IVAN,My father’s monkeys.
ANI,What’s going on here?
IGOR,I don’t know.
ANI,"What are you doing here, that’s what I’m asking."
IGOR,I really don’t know.
IGOR,I’m Igor.
ANI,I’m Ivan’s wife.
IVAN,Look. See?
GARNIK,Let me see that.
IVAN,What are you doing?
GARNIK,I’ve been asked to take a photo of the license.
IVAN,My parents asked for a photo?
GARNIK,Toros.
IVAN,Oh my god. You people are pathetic.
IVAN,"Ok, on your way."
TOROS,No!!!
TOROS,"Excuse me, Father."
ANI,Is everything ok?
IVAN,Yes.
ANI,What’s going on?
IVAN,"Time to say goodbye. My wife and I would like some privacy, thank you. And tell Toros to go fuck himself."
GARNIK,Hold on.
IVAN,What do you mean? Leave.
GARNIK,I need to see what Toros says.
IVAN,What? C’mon. Enough is enough. Out.
GARNIK,Standby.
IVAN,Standby? What the fuck does that mean?
GARNIK,"He wrote, ‘stand by’. So we stand by."
IVAN,"Stand by outside, man."
GARNIK,"Ivan, with all due respect... your father sent us over."
IVAN,Toros sent you over.
TOROS,"Father, I’m sorry."
TOROS,Here. I’ll be right back.
TOROS,"Hello sir. Hello ma'am. So yes, apparently it is true."
ANI,"Hey... you guys work for Ivan’s family... so I’m thinking that means you work for him. He told you to take it outside. Now, take it outside."
TOROS,I’ve seen the marriage license.
TOROS,"Oh, I can't. I’m not with him. I’m actually not there. Garnik is. But I’m going over there right now to fix this. It will be fixed. Do not worry."
TOROS,"Oh no. That’s not necessary. Really. You don’t have to... I can handle this. Ok, ok. Got it. Yes sir. And yes, ma'am."
IVAN,Get out now or I’ll have my father fire your fucking ass!
TOROS,I’m so sorry I must go. There’s an emergency.
TOROS,Ivan.
GARNIK,It’s Toros.
TOROS,Put me on speaker so the hooker can hear as well!
ANI,What the fuck! I’m not a fuckin’ hooker!
IVAN,"She’s not a hooker, she’s an erotic dancer!"
GARNIK,You’re already on speaker.
TOROS,I don’t check in on you in two weeks and you marry a whore?!?
ANI,I’m not a fucking whore you fucking Russian piece of shit.
IVAN,They’re Armenian.
ANI,You Armenian piece of shit!
TOROS,Well guess what? You really did it this time. Ready? Ready? YOUR PARENTS ARE ON THEIR WAY!
IVAN,WHAT!?!?
TOROS,"Yes. Like a school boy, you’re being picked up by your parents because you were naughty. We’re meeting them tomorrow at noon."
IVAN,NOOOO!
TOROS,"And taking your ass back to St. Petersburg, so start packing."
IVAN,FUCK!!!!
ANI,"We’re married, baby. They have to accept that."
TOROS,"Accept that? That’s funny. Ok. Ivan, I’ll be there in ten minutes and you and the streetwalker are coming with me..."
ANI,Did he just say streetwalker?
TOROS,...down to city hall where we’re getting this marriage annulled.
ANI,What? What does that mean?
TOROS,We are going down to city hall where this fake marriage will be annulled. Canceled. So be ready to go by the time I get there. And missy... you’re out of that house TONIGHT!
ANI,"I’m not going anywhere you, fucking piece of shit."
ANI,We’re not getting divorced because you tell us to. Go fuck yourself! Right Ivan?
IVAN,My parents are coming?
TOROS,"Yes, you little shit. They are leaving Russia now."
TOROS,You hear me?
IVAN,"Well, I’m out of here so fuck you."
IVAN,"C’mon, get dressed. We’re going."
ANI,Wait what?
GARNIK,"No, Ivan. You can’t leave."
IVAN,The fuck I can’t. Let’s go!
ANI,Going where? What? What’s going on?
TOROS,Wait. Did he say he was leaving? No! Don’t let him leave.
ANI,"Ivan, why do we have to leave our house?"
IVAN,"Let’s go, let’s go, let’s go."
ANI,"Let me get dressed. Ivan, what’s happening?"
IVAN,"Ok, Bye."
ANI,Ivan! Wait! Are you fucking kidding me?
TOROS,Did he say bye? NOOOO! Get him! What’s happening!
GARNIK,Keep her here.
IGOR,Please sit down.
ANI,Get out of my way.
IGOR,Please.
ANI,Get your hands off me.
IGOR,Calm down.
ANI,Don’t fucking touch me.
GARNIK,Ivan!
IGOR,Impressive.
ANI,Stay away from me!
TOROS,What’s happening!
TOROS,Are you killing her? What’s happening? Stop it!
DAY GUARD,What’s going on?
GARNIK,Nothing.
DAY GUARD,Everything ok?
GARNIK,What?
DAY GUARD,Everything ok?
GARNIK,Yeah.
DAY GUARD,Ivan having one of his tantrums?
DAY GUARD,Fucking Russians.
GARNIK,Oh my god. What’s happening?
IGOR,Help me. She’s crazy.
GARNIK,What’s happening?
IGOR,She’s crazy. Come and help me please!
ANI,Help me! He’s attacking me.
GARNIK,What did you do to her?
IGOR,You want me to keep her from going or what?
GARNIK,Yes but...
IGOR,She’s out of fucking control. Look!
TOROS,"Garnik! Garnik, you fucking idiot!"
TOROS,Jesus fucking christ.
IGOR,I need your help. Grab that cord and tie her legs.
GARNIK,That cord?
IGOR,"Yes, hurry man, that cord."
ANI,You two are fucking dead for this. I’m Ivan’s fucking wife.
ANI,Good. I’m glad I broke your fucking nose.
ANI,You two are fucking dead for this. I’m Ivan’s fucking wife!
ANI,Let me the fuck go.
IGOR,Please stop.
ANI,I’m not fighting you. I’m not going to run. You’re fucking hurting me. Let me go.
IGOR,I can’t.
ANI,"I will make sure you go away for this. Look, there are cameras everywhere. You’re so fucked."
ANI,Just wait until Ivan sees what you did to me.
IGOR,The Ivan that just left you?
ANI,He didn’t leave me. He went for help.
IGOR,I don’t think so.
GARNIK,"Toros, we have a situation here man."
TOROS,I’m pulling up now!
GARNIK,"She broke my fucking nose, man. You broke my nose you fucking bitch!"
TOROS,Open the gate!
GUARD,Ok but sir...
TOROS,Open this fucking gate now!
ANI,"Fucking piece of shit. I bet you like this, don’t you. You getting off on this? Psycho fuck."
IGOR,I don’t like this. I’m not being paid enough for this.
ANI,I can feel you getting hard motherfucker.
ANI,Vanya!
IGOR,It’s not Vanya.
TOROS,Oh my God. Oh my god. What? What is happening? Who did this?
GARNIK,She did this!
ANI,Hey! You the fuck on the phone?!?
TOROS,What the happened? What the fuck happened?
GARNIK,She happened!
ANI,Yo! Boss man! I’m talking to you! What’s happening? Tell this fuck to let me go!
TOROS,Did you touch Ivan? Where’s Ivan?
GARNIK,"No, Ivan took off when you told him his parents are coming and this bitch freaks out. Fucking kicks me in the face, I think she broke my nose, man."
ANI,That’s not true! What the fuck is happening!!!!
TOROS,What do you mean took off?
ANI,Yo! Fuck face!
